阿吽の〇〇,呼吸,吐息,欠伸,呼吸,阿吽の呼吸(あうんのこきゅう),二人の息がぴったり合っていること。
青は〇より出でて〇より青し,紺,藍,紅,藍,青は藍より出でて藍より青し(あおはあいよりいでてあいよりあおし),弟子が師匠の技量や学識を超えることのたとえ。
秋茄子は〇に食わすな,妻,夫,嫁,嫁,秋茄子は嫁に食わすな(あきなすはよめにくわすな),秋のなすはおいしいものでもったいないから嫁に食わせるな、という嫁いびりの意味と秋の茄子は体を冷やすから嫁に食わせるな、という嫁を大切にする意味がある。
秋の日は〇〇落とし,釣瓶,達磨,踵,釣瓶,秋の日は釣瓶落とし(あきのひはつるべおとし),秋の日は一気に日が暮れる様子。
〇〇を見る,足裏,足元,足跡,足元,足元を見る(あしもとをみる),相手の弱点をみつけ、つけいること。
〇をすくわれる,膝,足元,足,足,足をすくわれる(あしをすくわれる),卑劣な行為によって窮地に立たされること。
〇〇取らず,饅頭,女心,虻蜂,虻蜂,虻蜂取らず(あぶはちとらず),虻も蜂も両方を取ろうとして、結局どちらも取れないこと。
雨降って〇固まる,地,足,体,地,雨降って地固まる(あめふってじかたまる),雨が降ったあとは土地が固まり良い状態になることから、揉め事のあとは良い結果や安定を保てることのたとえ。
〇〇を叩いて渡る,鉄橋,石橋,吊橋,石橋,石橋を叩いて渡る(いしばしをたたいてわたる),決して壊れることのない石橋を、壊れないか叩いて確認する様子から、用心に用心を重ねることのたとえ。
〇の上にも三年,山,虹,石,石,石の上にも三年(いしのうえにもさんねん),冷たい石の上にも三年座っていれば温かくなることから、つらく苦しいことでも続けていれば報われるということ。
急がば〇〇,回れ,戻れ,帰れ,回れ,急がば回れ(いそがばまわれ),急いでいる時ほど、無理して近道をするより、確実な回り道を選んだ方が結果として早く着く。
〇〇報いる,一死,一矢,一志,一矢,一矢報いる(いっしむくいる),一方的に負けている状態で、わずかでも反撃、仕返しをすること。
〇の遠吠え,馬,牛,犬,犬,犬の遠吠え(いぬのとおぼえ),弱い犬ほど遠くで吠えることから、臆病者が影でいばったり、勝ち目のない相手のことを悪く言うことのたとえ。
〇も歩けば棒に当たる,犬,猿,鬼,犬,犬も歩けば棒に当たる(いぬもあるけばぼうにあたる),犬がふらふら歩くと棒で殴られてしまうので、でしゃばらないほうがいいという戒めだったが、現在は行動を起こすことによって、良いことでも悪いことでも経験できるという意味で使われることが多い。
魚心あれば〇〇,真心,水心,親心,水心,魚心あれば水心(うおごころあればみずごころ),相手が好意を持ってくれれば、こちらも好意を持って対応するように。
〇にひかれて善光寺参り,馬,人,牛,牛,牛にひかれて善光寺参り(うしにひかれてぜんこうじまいり),他人の誘いや思いがけない偶然で、良い方向へ進むこと。
嘘から出た〇,実,嘘,虚,実,嘘から出た実(うそからでたまこと),嘘として言ったことが、現実になってしまうこと。冗談で言ったつもりが偶然にも真実になること。
嘘〇〇,八千,八百,方便,八百,嘘八百(うそはっぴゃく),たくさんの嘘、嘘つき、なにもかもが嘘だらけ。
嘘も〇〇,八百,継続,方便,方便,嘘も方便(うそもほうべん),嘘をつくことは良くないが、場合によっては嘘が必要なこともある。
馬の耳に〇〇,念仏,怨念,御経,念仏,馬の耳に念仏(うまのみみにねんぶつ),ありがたい念仏を馬にきかせても無意味であることから、いくら意見をしても効果がないことのたとえ。
海千〇〇,谷千,山千,川千,山千,海千山千(うみせんやません),海に千年、山に千年住んだ蛇は竜になる言い伝えから、経験豊かで抜け目がなくなり、したたかになること。
